location,year,daly,pop65.x,Lit15.x,popm.x,Year,World.Bank.s.income.classification,measure.y,number,pop65.y,Lit15.y,popm.y,population,hdi
afghanistan,2004,9345.983649,2.296647378,NA,50.36491525,2019,Low-income countries,Deaths,426.0982308,2.296647378,NA,50.36491525,23553551,0.395
afghanistan,2005,9338.612602,2.29941264,NA,50.39534941,2019,Low-income countries,Deaths,426.2965921,2.29941264,NA,50.39534941,24411191,0.402
afghanistan,2006,9202.616445,2.302380967,NA,50.42045056,2019,Low-income countries,Deaths,420.6091686,2.302380967,NA,50.42045056,25442944,0.41
afghanistan,2007,8896.427785,2.305711969,NA,50.44901806,2019,Low-income countries,Deaths,407.4887435,2.305711969,NA,50.44901806,25903301,0.426
afghanistan,2008,8560.981359,2.317614137,NA,50.47453951,2019,Low-income countries,Deaths,392.9934956,2.317614137,NA,50.47453951,26427199,0.431
afghanistan,2009,8261.251922,2.335292383,NA,50.49414272,2019,Low-income countries,Deaths,379.6919703,2.335292383,NA,50.49414272,27385307,0.441
afghanistan,2010,8070.729501,2.353431072,NA,50.51629192,2019,Low-income countries,Deaths,371.6073461,2.353431072,NA,50.51629192,28189672,0.449
afghanistan,2011,8480.114654,2.373882092,31.44885063,50.532335,2019,Low-income countries,Deaths,390.3287588,2.373882092,31.44885063,50.532335,29249157,0.457
afghanistan,2012,9617.724742,2.391984686,NA,50.54442294,2019,Low-income countries,Deaths,441.9339755,2.391984686,NA,50.54442294,30466479,0.467
afghanistan,2013,10953.57253,2.403284579,NA,50.55789713,2019,Low-income countries,Deaths,502.432842,2.403284579,NA,50.55789713,31541209,0.475
afghanistan,2014,12151.74515,2.409162003,NA,50.56786529,2019,Low-income countries,Deaths,555.9060577,2.409162003,NA,50.56786529,32716210,0.48
afghanistan,2015,12743.22951,2.405815764,NA,50.57681575,2019,Low-income countries,Deaths,581.2565035,2.405815764,NA,50.57681575,33753499,0.479
afghanistan,2016,12847.00576,2.398989555,NA,50.58539175,2019,Low-income countries,Deaths,584.1713942,2.398989555,NA,50.58539175,34636207,0.483
afghanistan,2017,12857.67938,2.399817582,NA,50.58071591,2019,Low-income countries,Deaths,582.2100784,2.399817582,NA,50.58071591,35643418,0.485
afghanistan,2018,12746.078,2.407092974,NA,50.56279122,2019,Low-income countries,Deaths,573.5219747,2.407092974,NA,50.56279122,36686784,0.486
afghanistan,2019,12497.61167,2.417753839,NA,50.54451477,2019,Low-income countries,Deaths,557.9351513,2.417753839,NA,50.54451477,37769499,0.492
albania,1990,1379.09138,5.737989123,NA,50.89133268,2019,Upper-middle-income countries,Deaths,72.77058281,5.737989123,NA,50.89133268,3286542,0.649
albania,1991,1330.532705,5.872114301,NA,50.73064531,2019,Upper-middle-income countries,Deaths,69.40981777,5.872114301,NA,50.73064531,3266790,0.632
albania,1992,1236.82185,6.024280368,NA,50.5654351,2019,Upper-middle-income countries,Deaths,63.86027874,6.024280368,NA,50.5654351,3247039,0.616
albania,1993,1162.625385,6.194681418,NA,50.39871712,2019,Upper-middle-income countries,Deaths,59.39652728,6.194681418,NA,50.39871712,3227287,0.618
albania,1994,1090.164125,6.381681716,NA,50.23668799,2019,Upper-middle-income countries,Deaths,55.10475569,6.381681716,NA,50.23668799,3207536,0.623
albania,1995,1130.849843,6.583649072,NA,50.08281664,2019,Upper-middle-income countries,Deaths,57.56885533,6.583649072,NA,50.08281664,3187784,0.632
albania,1996,1223.135314,6.799250825,NA,49.94172097,2019,Upper-middle-income countries,Deaths,62.91186829,6.799250825,NA,49.94172097,3168033,0.644
albania,1997,1280.261972,7.02823446,NA,49.81361328,2019,Upper-middle-income countries,Deaths,65.59180598,7.02823446,NA,49.81361328,3148281,0.641
albania,1998,1328.363259,7.271712195,NA,49.70699297,2019,Upper-middle-income countries,Deaths,67.62741837,7.271712195,NA,49.70699297,3128530,0.656
albania,1999,1388.518912,7.534021557,NA,49.62886424,2019,Upper-middle-income countries,Deaths,70.97749392,7.534021557,NA,49.62886424,3108778,0.668
albania,2000,1492.049625,7.821964063,NA,49.57830259,2019,Upper-middle-income countries,Deaths,77.22257786,7.821964063,NA,49.57830259,3089027,0.678
albania,2001,1593.498686,8.145374257,98.71298218,49.56059908,2019,Upper-middle-income countries,Deaths,82.61779463,8.145374257,98.71298218,49.56059908,3060173,0.687
albania,2002,1771.673976,8.508105038,NA,49.57441066,2019,Upper-middle-income countries,Deaths,93.5566333,8.508105038,NA,49.57441066,3051010,0.692
albania,2003,1984.006652,8.899815745,NA,49.61430538,2019,Upper-middle-income countries,Deaths,106.9455081,8.899815745,NA,49.61430538,3039616,0.701
albania,2004,2141.874591,9.308443989,NA,49.67217632,2019,Upper-middle-income countries,Deaths,116.2200057,9.308443989,NA,49.67217632,3026939,0.707
albania,2005,2242.806159,9.719883771,NA,49.73983013,2019,Upper-middle-income countries,Deaths,122.3585676,9.719883771,NA,49.73983013,3011487,0.72
albania,2006,2284.491914,10.12060717,NA,49.81139627,2019,Upper-middle-income countries,Deaths,124.8007165,10.12060717,NA,49.81139627,2992547,0.728
albania,2007,2302.533306,10.51660681,NA,49.88595752,2019,Upper-middle-income countries,Deaths,125.6557069,10.51660681,NA,49.88595752,2970017,0.74
albania,2008,2474.323829,10.90194462,95.93863678,49.95993819,2019,Upper-middle-income countries,Deaths,136.934554,10.90194462,95.93863678,49.95993819,2947314,0.747
albania,2009,2602.763605,11.26527299,NA,50.02670155,2019,Upper-middle-income countries,Deaths,145.5597339,11.26527299,NA,50.02670155,2927519,0.752
albania,2010,2767.20188,11.61452454,NA,50.08246382,2019,Upper-middle-income countries,Deaths,156.1430442,11.61452454,NA,50.08246382,2913021,0.766
albania,2011,2912.703858,11.96302627,96.84529877,50.12300674,2019,Upper-middle-income countries,Deaths,165.0525894,11.96302627,96.84529877,50.12300674,2905195,0.779
albania,2012,3077.78762,12.32096198,97.24697113,50.14779442,2019,Upper-middle-income countries,Deaths,176.8790062,12.32096198,97.24697113,50.14779442,2900401,0.789
albania,2013,3245.985992,12.69380751,NA,50.15940345,2019,Upper-middle-income countries,Deaths,189.5893773,12.69380751,NA,50.15940345,2895092,0.793
albania,2014,3396.083841,13.09814979,NA,50.16230355,2019,Upper-middle-income countries,Deaths,201.3091585,13.09814979,NA,50.16230355,2889104,0.797
albania,2015,3503.938139,13.53343067,NA,50.15758994,2019,Upper-middle-income countries,Deaths,209.9467685,13.53343067,NA,50.15758994,2880703,0.797
albania,2016,3539.37657,13.97133627,NA,50.14343664,2019,Upper-middle-income countries,Deaths,214.1223317,13.97133627,NA,50.14343664,2876101,0.795
albania,2017,3438.764844,14.40114192,NA,50.12146818,2019,Upper-middle-income countries,Deaths,209.6390675,14.40114192,NA,50.12146818,2873457,0.796
albania,2018,3261.861753,14.85033262,NA,50.09393423,2019,Upper-middle-income countries,Deaths,199.2205169,14.85033262,NA,50.09393423,2866376,0.797
albania,2019,3192.405367,15.35055266,NA,50.06066705,2019,Upper-middle-income countries,Deaths,195.3501438,15.35055266,NA,50.06066705,2854191,0.8
algeria,1990,26188.09323,3.112397903,NA,50.82828743,2019,Lower-middle-income countries,Deaths,1248.991009,3.112397903,NA,50.82828743,25518074,0.593
algeria,1991,27644.2163,3.145211173,NA,50.82450939,2019,Lower-middle-income countries,Deaths,1308.305226,3.145211173,NA,50.82450939,26133905,0.596
algeria,1992,29197.85665,3.180635481,NA,50.8173883,2019,Lower-middle-income countries,Deaths,1395.997553,3.180635481,NA,50.8173883,26748303,0.601
algeria,1993,30801.29499,3.217814439,NA,50.80947522,2019,Lower-middle-income countries,Deaths,1487.817726,3.217814439,NA,50.80947522,27354327,0.602
algeria,1994,32551.91564,3.257226275,NA,50.79963114,2019,Lower-middle-income countries,Deaths,1587.754014,3.257226275,NA,50.79963114,27937006,0.603
algeria,1995,34203.5993,3.300438141,NA,50.78485086,2019,Lower-middle-income countries,Deaths,1684.518208,3.300438141,NA,50.78485086,28478022,0.607
algeria,1996,36035.40077,3.489504128,NA,50.84241533,2019,Lower-middle-income countries,Deaths,1789.045792,3.489504128,NA,50.84241533,28984634,0.618
algeria,1997,38179.027,3.832049166,NA,50.97678856,2019,Lower-middle-income countries,Deaths,1907.949419,3.832049166,NA,50.97678856,29476031,0.626
algeria,1998,39995.18993,4.05662305,NA,51.03551358,2019,Lower-middle-income countries,Deaths,2008.190658,4.05662305,NA,51.03551358,29924668,0.635
algeria,1999,42444.35376,4.151034981,NA,51.02075283,2019,Lower-middle-income countries,Deaths,2136.387972,4.151034981,NA,51.02075283,30346083,0.644
algeria,2000,43769.89043,4.243646087,NA,51.01022365,2019,Lower-middle-income countries,Deaths,2203.311802,4.243646087,NA,51.01022365,30774621,0.652
algeria,2001,44447.47957,4.335624271,NA,51.00112384,2019,Lower-middle-income countries,Deaths,2236.305515,4.335624271,NA,51.00112384,31200985,0.659
algeria,2002,45073.76928,4.425128773,69.87349701,50.99455818,2019,Lower-middle-income countries,Deaths,2262.980378,4.425128773,69.87349701,50.99455818,31624696,0.668
algeria,2003,45392.77468,4.508414189,NA,50.99269298,2019,Lower-middle-income countries,Deaths,2279.076427,4.508414189,NA,50.99269298,32055883,0.675
algeria,2004,45602.26596,4.582966705,NA,50.99367626,2019,Lower-middle-income countries,Deaths,2289.678942,4.582966705,NA,50.99367626,32510186,0.683
algeria,2005,45773.15423,4.651861206,NA,50.99546101,2019,Lower-middle-income countries,Deaths,2300.162877,4.651861206,NA,50.99546101,32956690,0.69
algeria,2006,45792.86844,4.709836126,72.64868164,50.99710244,2019,Lower-middle-income countries,Deaths,2304.820793,4.709836126,72.64868164,50.99710244,33435080,0.696
algeria,2007,45576.53181,4.752013292,NA,50.99621652,2019,Lower-middle-income countries,Deaths,2298.144454,4.752013292,NA,50.99621652,33983827,0.701
algeria,2008,45367.87521,4.78171401,75.13604736,50.9944144,2019,Lower-middle-income countries,Deaths,2292.569503,4.78171401,75.13604736,50.9944144,34569592,0.709
algeria,2009,45571.98611,4.806103665,NA,50.99136872,2019,Lower-middle-income countries,Deaths,2310.370078,4.806103665,NA,50.99136872,35196037,0.716
algeria,2010,46469.75087,4.830585974,NA,50.98856704,2019,Lower-middle-income countries,Deaths,2376.359638,4.830585974,NA,50.98856704,35856344,0.721
algeria,2011,48042.71224,4.860499084,NA,50.98624405,2019,Lower-middle-income countries,Deaths,2471.402937,4.860499084,NA,50.98624405,36543541,0.725
algeria,2012,49976.4669,4.903067419,NA,50.98149215,2019,Lower-middle-income countries,Deaths,2582.723364,4.903067419,NA,50.98149215,37260563,0.726
algeria,2013,52544.96613,4.967424682,NA,50.9757234,2019,Lower-middle-income countries,Deaths,2737.702739,4.967424682,NA,50.9757234,38000626,0.729
algeria,2014,54981.04877,5.063424971,NA,50.96916763,2019,Lower-middle-income countries,Deaths,2890.650773,5.063424971,NA,50.96916763,38760168,0.732
algeria,2015,56828.84606,5.190756848,NA,50.96262933,2019,Lower-middle-income countries,Deaths,3001.936347,5.190756848,NA,50.96262933,39543154,0.736
algeria,2016,57903.02009,5.339630282,NA,50.95849264,2019,Lower-middle-income countries,Deaths,3075.488443,5.339630282,NA,50.95849264,40339329,0.738
algeria,2017,58904.09613,5.499513741,NA,50.95545212,2019,Lower-middle-income countries,Deaths,3143.082977,5.499513741,NA,50.95545212,41136546,0.738
algeria,2018,60369.78805,5.670405951,81.40783691,50.95189122,2019,Lower-middle-income countries,Deaths,3250.570244,5.670405951,81.40783691,50.95189122,41927007,0.74
algeria,2019,61919.01696,5.855036703,NA,50.94652972,2019,Lower-middle-income countries,Deaths,3341.630944,5.855036703,NA,50.94652972,42705368,0.742
andorra,1990,28.28848818,9.484874789,NA,52.9970692,2019,High-income countries,Deaths,1.502593428,9.484874789,NA,52.9970692,53569,NA
andorra,1991,29.37819957,9.767383128,NA,52.94584551,2019,High-income countries,Deaths,1.58556831,9.767383128,NA,52.94584551,55434,NA
andorra,1992,30.81571001,9.952255012,NA,52.84115706,2019,High-income countries,Deaths,1.690823274,9.952255012,NA,52.84115706,57283,NA
andorra,1993,32.52108268,10.16718507,NA,52.76218811,2019,High-income countries,Deaths,1.807929186,10.16718507,NA,52.76218811,59156,NA
andorra,1994,33.5339099,10.40024903,NA,52.69262906,2019,High-income countries,Deaths,1.904677113,10.40024903,NA,52.69262906,61037,NA
andorra,1995,34.15302703,10.65988638,NA,52.63475718,2019,High-income countries,Deaths,1.972132883,10.65988638,NA,52.63475718,62928,NA
andorra,1996,35.31367918,11.02693012,NA,52.5246699,2019,High-income countries,Deaths,2.068990087,11.02693012,NA,52.5246699,64147,NA
andorra,1997,36.96194661,11.48000989,NA,52.36078043,2019,High-income countries,Deaths,2.187223495,11.48000989,NA,52.36078043,64682,NA
andorra,1998,38.61128794,11.91599359,NA,52.19985887,2019,High-income countries,Deaths,2.307670853,11.91599359,NA,52.19985887,65186,NA
andorra,1999,40.17956127,12.32731704,NA,52.03411774,2019,High-income countries,Deaths,2.428105332,12.32731704,NA,52.03411774,65655,NA
andorra,2000,41.55786258,12.71757631,NA,51.87073543,2019,High-income countries,Deaths,2.536200871,12.71757631,NA,51.87073543,66097,0.815
andorra,2001,40.01721974,12.75803598,NA,51.8298437,2019,High-income countries,Deaths,2.456991435,12.75803598,NA,51.8298437,67820,0.823
andorra,2002,39.08953997,12.47591692,NA,51.90334373,2019,High-income countries,Deaths,2.415555665,12.47591692,NA,51.90334373,70849,0.828
andorra,2003,38.32962045,12.23759429,NA,51.99642794,2019,High-income countries,Deaths,2.376066295,12.23759429,NA,51.99642794,73907,0.836
andorra,2004,37.42456205,12.02857013,NA,52.09857928,2019,High-income countries,Deaths,2.337036734,12.02857013,NA,52.09857928,76933,0.828
andorra,2005,35.77197928,11.83832234,NA,52.21231178,2019,High-income countries,Deaths,2.248987356,11.83832234,NA,52.21231178,79826,0.828
andorra,2006,34.98887197,11.71084698,NA,52.14220715,2019,High-income countries,Deaths,2.213108418,11.71084698,NA,52.14220715,80221,0.842
andorra,2007,34.1201194,11.59290507,NA,51.85625832,2019,High-income countries,Deaths,2.169920233,11.59290507,NA,51.85625832,78168,0.851
andorra,2008,34.30397087,11.40424693,NA,51.52981395,2019,High-income countries,Deaths,2.206456253,11.40424693,NA,51.52981395,76055,0.857
andorra,2009,34.37952522,11.15067974,NA,51.1658452,2019,High-income countries,Deaths,2.237484875,11.15067974,NA,51.1658452,73852,0.859
andorra,2010,34.28120608,10.82571886,NA,50.76553084,2019,High-income countries,Deaths,2.248810589,10.82571886,NA,50.76553084,71519,0.863
andorra,2011,31.12406647,10.80596592,NA,50.55054062,2019,High-income countries,Deaths,2.095373762,10.80596592,NA,50.55054062,70567,0.867
andorra,2012,29.27423208,11.17549727,NA,50.53440919,2019,High-income countries,Deaths,1.992062105,11.17549727,NA,50.53440919,71013,0.867
andorra,2013,28.91096864,11.6252023,NA,50.50373422,2019,High-income countries,Deaths,1.977157234,11.6252023,NA,50.50373422,71367,0.851
andorra,2014,28.62342889,12.10320923,NA,50.47123051,2019,High-income countries,Deaths,1.962710302,12.10320923,NA,50.47123051,71621,0.854
andorra,2015,28.10137837,12.58824595,NA,50.44044267,2019,High-income countries,Deaths,1.927876754,12.58824595,NA,50.44044267,71746,0.856
andorra,2016,26.64430385,12.93139694,NA,50.49214227,2019,High-income countries,Deaths,1.830522066,12.93139694,NA,50.49214227,72540,0.859
andorra,2017,24.59199446,13.1845361,NA,50.62637973,2019,High-income countries,Deaths,1.687563857,13.1845361,NA,50.62637973,73837,0.86
andorra,2018,22.46774534,13.51023482,NA,50.75120312,2019,High-income countries,Deaths,1.529543134,13.51023482,NA,50.75120312,75013,0.863
andorra,2019,21.40043277,13.84278847,NA,50.87696318,2019,High-income countries,Deaths,1.436350035,13.84278847,NA,50.87696318,76343,0.865
angola,1990,2518.013314,2.095731651,NA,49.34998433,2019,Lower-middle-income countries,Deaths,100.7194504,2.095731651,NA,49.34998433,11828638,NA
angola,1991,2505.966011,2.101067158,NA,49.30724801,2019,Lower-middle-income countries,Deaths,100.354501,2.101067158,NA,49.30724801,12228691,NA
angola,1992,2516.049715,2.114801915,NA,49.27132833,2019,Lower-middle-income countries,Deaths,100.8913976,2.114801915,NA,49.27132833,12632507,NA
angola,1993,2569.346408,2.134378339,NA,49.21284035,2019,Lower-middle-income countries,Deaths,103.1985065,2.134378339,NA,49.21284035,13038270,NA
angola,1994,2631.228406,2.164216529,NA,49.14866858,2019,Lower-middle-income countries,Deaths,105.8732251,2.164216529,NA,49.14866858,13462031,NA
angola,1995,2683.433476,2.202281766,NA,49.12843376,2019,Lower-middle-income countries,Deaths,108.209274,2.202281766,NA,49.12843376,13912253,NA
angola,1996,2726.434248,2.245693884,NA,49.14119451,2019,Lower-middle-income countries,Deaths,110.4130115,2.245693884,NA,49.14119451,14383350,NA
angola,1997,2835.471991,2.292045953,NA,49.1536429,2019,Lower-middle-income countries,Deaths,115.0308774,2.292045953,NA,49.1536429,14871146,NA
angola,1998,3018.882877,2.337656532,NA,49.1560347,2019,Lower-middle-income countries,Deaths,122.4458861,2.337656532,NA,49.1560347,15366864,NA
angola,1999,3206.601554,2.382656399,NA,49.14284785,2019,Lower-middle-income countries,Deaths,130.1299488,2.382656399,NA,49.14284785,15870753,0.369
angola,2000,3387.374257,2.42654932,NA,49.13212479,2019,Lower-middle-income countries,Deaths,137.7239437,2.42654932,NA,49.13212479,16394062,0.38
angola,2001,3524.443521,2.468107104,67.4054184,49.12470125,2019,Lower-middle-income countries,Deaths,143.1858752,2.468107104,67.4054184,49.12470125,16941587,0.39
angola,2002,3677.614311,2.506568443,NA,49.12011717,2019,Lower-middle-income countries,Deaths,149.5889223,2.506568443,NA,49.12011717,17516139,0.406
angola,2003,3896.581883,2.541242531,NA,49.13118501,2019,Lower-middle-income countries,Deaths,158.5565463,2.541242531,NA,49.13118501,18124342,0.424
angola,2004,4188.704544,2.569901911,NA,49.15051708,2019,Lower-middle-income countries,Deaths,170.7368885,2.569901911,NA,49.15051708,18771125,0.437
angola,2005,4397.490256,2.58955362,NA,49.17080952,2019,Lower-middle-income countries,Deaths,179.2135952,2.58955362,NA,49.17080952,19450959,0.451
angola,2006,4793.108612,2.601337379,NA,49.19051558,2019,Lower-middle-income countries,Deaths,195.5603463,2.601337379,NA,49.19051558,20162340,0.463
angola,2007,5251.107356,2.606399982,NA,49.20930417,2019,Lower-middle-income countries,Deaths,213.9922941,2.606399982,NA,49.20930417,20909684,0.48
angola,2008,5885.205555,2.606474548,NA,49.22900754,2019,Lower-middle-income countries,Deaths,240.3179415,2.606474548,NA,49.22900754,21691522,0.492
angola,2009,6511.208063,2.603536465,NA,49.24855851,2019,Lower-middle-income countries,Deaths,266.076845,2.603536465,NA,49.24855851,22507674,0.506
angola,2010,7160.364228,2.598718881,NA,49.26623805,2019,Lower-middle-income countries,Deaths,292.7325731,2.598718881,NA,49.26623805,23364185,0.516
angola,2011,7886.042257,2.592223957,NA,49.2831786,2019,Lower-middle-income countries,Deaths,322.5982461,2.592223957,NA,49.2831786,24259111,0.533
angola,2012,8710.074641,2.584827852,NA,49.29889252,2019,Lower-middle-income countries,Deaths,356.4805885,2.584827852,NA,49.29889252,25188292,0.545
angola,2013,9522.492451,2.573570385,NA,49.31373777,2019,Lower-middle-income countries,Deaths,390.1845561,2.573570385,NA,49.31373777,26147002,0.555
angola,2014,10116.82262,2.556774906,66.03011322,49.32836834,2019,Lower-middle-income countries,Deaths,414.6110511,2.556774906,66.03011322,49.32836834,27128337,0.565
angola,2015,10776.21126,2.546816715,NA,49.3425045,2019,Lower-middle-income countries,Deaths,443.4832357,2.546816715,NA,49.3425045,28127721,0.591
angola,2016,11365.98253,2.545834262,NA,49.35790214,2019,Lower-middle-income countries,Deaths,469.5986247,2.545834262,NA,49.35790214,29154746,0.595
angola,2017,12012.67459,2.549056515,NA,49.37428141,2019,Lower-middle-income countries,Deaths,499.3007091,2.549056515,NA,49.37428141,30208628,0.597
angola,2018,12676.47657,2.559534927,NA,49.38838538,2019,Lower-middle-income countries,Deaths,529.8713296,2.559534927,NA,49.38838538,31273533,0.598
angola,2019,13399.8225,2.575997135,NA,49.40112052,2019,Lower-middle-income countries,Deaths,563.2131956,2.575997135,NA,49.40112052,32353588,0.597
antigua and barbuda,1990,72.15021337,9.10102956,NA,48.152476,2019,High-income countries,Deaths,4.638329018,9.10102956,NA,48.152476,63328,NA
antigua and barbuda,1991,73.62114508,8.969261715,NA,48.27293585,2019,High-income countries,Deaths,4.848380304,8.969261715,NA,48.27293585,63634,NA
antigua and barbuda,1992,75.12848755,8.792279497,NA,48.20983931,2019,High-income countries,Deaths,4.975252269,8.792279497,NA,48.20983931,64659,NA
antigua and barbuda,1993,80.33172209,8.586054213,NA,48.03293131,2019,High-income countries,Deaths,5.387029573,8.586054213,NA,48.03293131,65834,NA
antigua and barbuda,1994,80.62244408,8.377564408,NA,47.85603531,2019,High-income countries,Deaths,5.456231759,8.377564408,NA,47.85603531,67072,NA
antigua and barbuda,1995,78.94116503,8.169098512,NA,47.68999094,2019,High-income countries,Deaths,5.318782532,8.169098512,NA,47.68999094,68398,NA
antigua and barbuda,1996,70.34306819,7.950800883,NA,47.52428436,2019,High-income countries,Deaths,4.668234989,7.950800883,NA,47.52428436,69798,NA
antigua and barbuda,1997,68.9555335,7.729139608,NA,47.36864276,2019,High-income countries,Deaths,4.589080988,7.729139608,NA,47.36864276,71218,NA
antigua and barbuda,1998,67.67838274,7.531141487,NA,47.23447059,2019,High-income countries,Deaths,4.518326891,7.531141487,NA,47.23447059,72572,NA
antigua and barbuda,1999,66.95458429,7.376627247,NA,47.11667412,2019,High-income countries,Deaths,4.446522264,7.376627247,NA,47.11667412,73821,NA
antigua and barbuda,2000,63.75354525,7.25867697,NA,47.0415029,2019,High-income countries,Deaths,4.177906691,7.25867697,NA,47.0415029,75055,NA
antigua and barbuda,2001,61.95885921,7.174440727,98.94999695,47.01436725,2019,High-income countries,Deaths,4.032912601,7.174440727,98.94999695,47.01436725,76215,NA
antigua and barbuda,2002,59.83416957,7.117041259,NA,47.02506639,2019,High-income countries,Deaths,3.84078208,7.117041259,NA,47.02506639,77195,NA
antigua and barbuda,2003,59.62809515,7.063766018,NA,47.0650016,2019,High-income countries,Deaths,3.813551242,7.063766018,NA,47.0650016,78075,NA
antigua and barbuda,2004,58.92039727,7.016632675,NA,47.10860009,2019,High-income countries,Deaths,3.773278002,7.016632675,NA,47.10860009,78941,NA
antigua and barbuda,2005,57.07540842,6.988318371,NA,47.15221175,2019,High-income countries,Deaths,3.615353802,6.988318371,NA,47.15221175,79869,NA
antigua and barbuda,2006,57.18512798,6.973811893,NA,47.19698374,2019,High-income countries,Deaths,3.610819951,6.973811893,NA,47.19698374,80895,NA
antigua and barbuda,2007,60.64884141,6.967585395,NA,47.24200156,2019,High-income countries,Deaths,3.798282806,6.967585395,NA,47.24200156,82016,0.816
antigua and barbuda,2008,60.05822597,6.976492775,NA,47.28832086,2019,High-income countries,Deaths,3.716396395,6.976492775,NA,47.28832086,83251,0.816
antigua and barbuda,2009,57.83088428,7.0084641,NA,47.33243429,2019,High-income countries,Deaths,3.636032612,7.0084641,NA,47.33243429,84534,0.81
antigua and barbuda,2010,58.48719666,7.100180874,NA,47.37499271,2019,High-income countries,Deaths,3.672884743,7.100180874,NA,47.37499271,85695,0.808
antigua and barbuda,2011,60.46320364,7.245558003,NA,47.43626699,2019,High-income countries,Deaths,3.816297303,7.245558003,NA,47.43626699,86729,0.805
antigua and barbuda,2012,63.64171251,7.409266145,NA,47.50781303,2019,High-income countries,Deaths,4.007494753,7.409266145,NA,47.50781303,87674,0.811
antigua and barbuda,2013,69.43554434,7.586132863,NA,47.56771416,2019,High-income countries,Deaths,4.344799967,7.586132863,NA,47.56771416,88497,0.812
antigua and barbuda,2014,75.16984998,7.796180914,NA,47.61307096,2019,High-income countries,Deaths,4.692931434,7.796180914,NA,47.61307096,89236,0.815
antigua and barbuda,2015,76.24043587,8.063664311,NA,47.64679067,2019,High-income countries,Deaths,4.718623302,8.063664311,NA,47.64679067,89941,0.818
antigua and barbuda,2016,75.23775524,8.401194729,NA,47.67457268,2019,High-income countries,Deaths,4.607805258,8.401194729,NA,47.67457268,90564,0.822
antigua and barbuda,2017,74.03148249,8.756132091,NA,47.6969677,2019,High-income countries,Deaths,4.501126258,8.756132091,NA,47.6969677,91119,0.824
antigua and barbuda,2018,73.87935596,9.085898576,NA,47.71134831,2019,High-income countries,Deaths,4.476580397,9.085898576,NA,47.71134831,91626,0.828
antigua and barbuda,2019,75.22310198,9.428821112,NA,47.72300444,2019,High-income countries,Deaths,4.538549656,9.428821112,NA,47.72300444,92117,0.831
argentina,1990,37925.16451,8.699638101,NA,49.21773643,2019,Upper-middle-income countries,Deaths,2093.398892,8.699638101,NA,49.21773643,32637657,0.724
argentina,1991,37615.69916,8.840185922,96.04071808,49.23060979,2019,Upper-middle-income countries,Deaths,2075.527728,8.840185922,96.04071808,49.23060979,33105763,0.731
argentina,1992,37747.92145,8.984188364,NA,49.24054952,2019,Upper-middle-income countries,Deaths,2086.618629,8.984188364,NA,49.24054952,33568285,0.736
argentina,1993,36971.80196,9.1183462,NA,49.24803775,2019,Upper-middle-income countries,Deaths,2040.121637,9.1183462,NA,49.24803775,34027240,0.74
argentina,1994,35466.62636,9.244726156,NA,49.2612623,2019,Upper-middle-income countries,Deaths,1947.947592,9.244726156,NA,49.2612623,34488696,0.746
argentina,1995,34791.46005,9.359350726,NA,49.27761058,2019,Upper-middle-income countries,Deaths,1914.834902,9.359350726,NA,49.27761058,34946110,0.747
